Time,data
1715272156.3782756,-1.78125
1715272156.38797,-1.9765625
1715272156.397882,-1.87890625
1715272156.4080791,-1.87890625
1715272156.4179032,-1.6796875
1715272156.4280136,-1.9765625
1715272156.4381611,-1.78125
1715272156.4479647,-1.9765625
1715272156.4582798,-1.9765625
1715272156.4680562,-1.78125
1715272156.4779267,-1.78125
1715272156.488094,-1.9765625
1715272156.4979115,-1.78125
1715272156.5080044,-2.17578125
1715272156.5180511,-1.87890625
1715272156.52811,-1.78125
1715272156.5380964,-1.87890625
1715272156.5481148,-1.9765625
1715272156.558456,-1.78125
1715272156.568249,-2.078125
1715272156.5780916,-1.78125
1715272156.5880637,-1.78125
1715272156.5979323,-1.6796875
1715272156.6080348,-1.87890625
1715272156.6181386,-1.6796875
1715272156.6282187,-1.78125
1715272156.6381989,-1.87890625
1715272156.6482434,-1.58203125
1715272156.6586187,-1.9765625
1715272156.66825,-1.58203125
1715272156.6780334,-1.78125
1715272156.688,-1.9765625
1715272156.6980188,-1.78125
1715272156.707924,-1.58203125
1715272156.7182565,-1.78125
1715272156.7280166,-1.58203125
1715272156.737956,-1.9765625
1715272156.7482624,-2.078125
1715272156.75818,-1.9765625
1715272156.7681813,-2.078125
1715272156.7778964,-1.78125
1715272156.7879012,-1.78125
1715272156.798152,-2.078125
1715272156.8078976,-1.78125
1715272156.818172,-1.6796875
1715272156.8279555,-1.78125
1715272156.8381867,-1.78125
1715272156.8480966,-1.9765625
1715272156.858537,-1.6796875
1715272156.8681355,-1.87890625
1715272156.8781457,-1.6796875
1715272156.8881595,-1.78125
1715272156.89793,-1.78125
1715272156.9080706,-1.78125
1715272156.91807,-1.78125
1715272156.9281592,-1.78125
1715272156.9379978,-1.9765625
1715272156.9481716,-2.375
1715272156.9583097,-1.484375
1715272156.9683254,-1.6796875
1715272156.9782507,-1.9765625
1715272156.988246,-1.78125
1715272156.9981427,-1.484375
1715272157.0083625,-1.484375
1715272157.0182188,-1.9765625
1715272157.027977,-1.58203125
1715272157.0380495,-1.87890625
1715272157.0481668,-1.87890625
